"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2012-01-01,768
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2013-01-01,674
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2014-01-01,121.25
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2015-01-01,234
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2016-01-01,801
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2017-01-01,281
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2018-01-01,245
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2019-01-01,67
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2020-01-01,176
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2021-01-01,107
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2022-01-01,145
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2023-01-01,0
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","62","RIO NEGRO",2024-01-01,196
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2002-01-01,2200
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2003-01-01,777
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2004-01-01,885
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2005-01-01,1622
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2006-01-01,1940
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2007-01-01,3970
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2008-01-01,0
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2009-01-01,0
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2010-01-01,1128
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2011-01-01,840.6
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2012-01-01,1075.26
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2013-01-01,1262.75
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2014-01-01,4982.25
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2015-01-01,1381
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2016-01-01,3048
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2017-01-01,2846
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2018-01-01,1993
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2019-01-01,3441
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2020-01-01,3732
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2021-01-01,9587
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2022-01-01,4508
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2023-01-01,2556
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","66","SALTA",2024-01-01,2351
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","70","SAN JUAN",1997-01-01,1680884
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","70","SAN JUAN",1998-01-01,1300643
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","70","SAN JUAN",1999-01-01,1219137
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","70","SAN JUAN",2000-01-01,1964329
